location_id,latitude,longitude,depth_km,place_description,event_id,event_timestamp,last_updated,magnitude_value,measurement_error,num_stations_used,type_code,event_year,location,depth_category
46465,57.5699,-149.0911,27.8,"190 km E of Chiniak, Alaska",ak000126digo,2000-01-23 08:42:28.405000+00:00,2022-04-29 18:29:54.135000+00:00,5.5,0.1,27.0,mw,2000.0,"Chiniak, Alaska",Shallow
46438,65.0087,-154.239,10.0,northern Alaska,ak0001kedehd,2000-02-03 10:24:57.773000+00:00,2022-04-29 18:30:52.396000+00:00,5.6,0.1,27.0,mw,2000.0,northern Alaska,Shallow
46359,60.2025,-145.9216,18.1,"39 km SSW of Cordova, Alaska",ak0002nyhqq3,2000-02-27 02:22:14.511000+00:00,2022-04-29 18:33:57.113000+00:00,5.0,0.1,27.0,mw,2000.0,"Cordova, Alaska",Shallow
46343,60.1896,-145.9005,10.0,"40 km S of Cordova, Alaska",ak0002t9i8pq,2000-03-01 23:05:14.227000+00:00,2022-04-29 19:23:12.999000+00:00,5.4,0.1,27.0,mw,2000.0,"Cordova, Alaska",Shallow
46328,57.341,-154.2517,39.5,"27 km SW of Larsen Bay, Alaska",ak00034p02su,2000-03-08 14:20:57.427000+00:00,2022-04-29 18:34:34.872000+00:00,5.4,0.1,27.0,mw,2000.0,"Larsen Bay, Alaska",Shallow
46326,62.2928,-151.3767,97.9,"33 km N of Skwentna, Alaska",ak00034ua3il,2000-03-08 23:07:13.097000+00:00,2025-12-19 22:42:23.898000+00:00,5.4,0.1,27.0,mw,2000.0,"Skwentna, Alaska",Intermediate
46300,61.3927,-149.8951,39.0,"5 km NE of Point MacKenzie, Alaska",ak0003htw989,2000-03-16 08:48:58.175000+00:00,2022-04-29 18:34:45.227000+00:00,5.0,0.1,27.0,mw,2000.0,"Point MacKenzie, Alaska",Shallow
46159,59.5979,-139.7231,16.2,"5 km N of Yakutat, Alaska",ak0005nt5cm4,2000-05-02 23:59:22.202000+00:00,2022-04-29 18:37:53.546000+00:00,5.3,0.1,27.0,mw,2000.0,"Yakutat, Alaska",Shallow
46135,57.3157,-154.2887,35.6,"29 km SSE of Karluk, Alaska",ak0005xohb9f,2000-05-08 20:41:40.192000+00:00,2022-04-29 19:16:24.881000+00:00,5.0,0.1,27.0,mw,2000.0,"Karluk, Alaska",Shallow
46105,59.0742,-152.8895,75.1,"63 km WSW of Nanwalek, Alaska",ak0006fvclqz,2000-05-19 20:34:28.111000+00:00,2022-04-29 18:38:53.252000+00:00,5.8,0.1,27.0,mw,2000.0,"Nanwalek, Alaska",Intermediate
45929,58.6752,-149.7843,10.0,"131 km SE of Halibut Cove, Alaska",ak0008a0cj9j,2000-06-28 19:50:52.878000+00:00,2025-12-19 22:44:11.024000+00:00,5.2,0.1,27.0,mw,2000.0,"Halibut Cove, Alaska",Shallow
45880,57.3546,-154.198,42.9,"24 km SSW of Larsen Bay, Alaska",ak0008v7ic1n,2000-07-11 01:32:28.758000+00:00,2022-04-29 18:44:04.417000+00:00,6.5,0.1,27.0,mw,2000.0,"Larsen Bay, Alaska",Shallow
