site_id,latitude,longitude,description,feature_name,comid,country,origin_study_code,data_source,nearest_eq_distance_km,nearest_eq_id,nearest_eq_magnitude,nearest_eq_depth_km,nearest_eq_depth_category,nearest_eq_year,nearest_eq_place,proximity_category
ALAC,29.434045,-98.519132,stream,Alazan Creek,10840404.0,United States,AV1,PNNL_River_Sampling,422.79,tx2024ophu,5.1,3.2959,Shallow,2024.0,"17 km NNE of Hermleigh, Texas",Moderate (100-500 km)
Altamaha (Tidal driven),31.337603,-81.48373,stream,Altamaha,14352998.0,United States,48hr,PNNL_River_Sampling,572.35,se60324281,5.1,4.14,Shallow,2020.0,"4 km SE of Sparta, North Carolina",Distant (>500 km)
APAC,29.414842,-98.514739,stream,Apache Creek,10840420.0,United States,AV1,PNNL_River_Sampling,424.87,tx2024ophu,5.1,3.2959,Shallow,2024.0,"17 km NNE of Hermleigh, Texas",Moderate (100-500 km)
BLU-BLU,44.1623,-122.332,stream,Blue River,23773405.0,United States,WROL,PNNL_River_Sampling,99.46,uw10306313,5.6,19.608,Shallow,1993.0,"4 km E of Scotts Mills, Oregon",Very Close (<100 km)
BLU-TID,44.2179,-122.265,stream,Blue River below Tidbits Creek,23773429.0,United States,WROL,PNNL_River_Sampling,94.81,uw10306313,5.6,19.608,Shallow,1993.0,"4 km E of Scotts Mills, Oregon",Very Close (<100 km)
BOU1,45.6449,-73.4774,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,126.11,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Moderate (100-500 km)
BOU2,45.6462,-73.4637,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,127.04,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Moderate (100-500 km)
BOU3,45.645,-73.4529,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,127.4,ld2002042000,5.3,4.83,Shallow,2002.0,"8 km NNW of Au Sable Forks, New York",Moderate (100-500 km)
BOU4,45.5685,-73.5079,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,118.38,ld2002042000,5.3,4.83,Shallow,2002.0,"8 km NNW of Au Sable Forks, New York",Moderate (100-500 km)
BR08,44.6006,-75.6606,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,81.72,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
