Site_ID,Latitude,Longitude,IGSN,Description,Physiographic_Feature_Name,COMID,RawCOMID_Used,Country,Methods_and_Flags,Submission_Contact_Name,Submission_Contact_Email,Origin_Study_Code
ALAC,29.434045,-98.519132,10.58052/IEWDR022E,stream,Alazan Creek,10840404,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,AV1
Altamaha (Tidal driven),31.337603,-81.48373,10.58052/IEWDR028E,stream,Altamaha,14352998,TRUE,United States,COMID_Analysis_01; COMID_02,James Stegen,james.stegen@pnnl.gov,48hr
APAC,29.414842,-98.514739,10.58052/IEWDR022C,stream,Apache Creek,10840420,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,AV1
BLU-BLU,44.1623,-122.332,10.58052/IEWDR00WM,stream,Blue River,23773405,TRUE,United States,COMID_Analysis_00; COMID_01,James Stegen,james.stegen@pnnl.gov,WROL
BLU-TID,44.2179,-122.265,10.58052/IEWDR00WN,stream,Blue River below Tidbits Creek,23773429,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
BOU1,45.6449,-73.4774,10.58052/IEWDR01BX,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
BOU2,45.6462,-73.4637,10.58052/IEWDR01BW,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
BOU3,45.645,-73.4529,10.58052/IEWDR01BV,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
BOU4,45.5685,-73.5079,10.58052/IEWDR01BO,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
BR08,44.6006,-75.6606,10.58052/IEWDR01AQ,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
BR09,44.63438,-75.61223,10.58052/IEWDR01AO,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
BR11,44.79,-75.3714,10.58052/IEWDR01AX,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
BR12,44.8463,-75.2996,10.58052/IEWDR01AZ,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
BRO-LAP,43.7236,-121.796,10.58052/IEWDR00WO,stream,Brown Creek,23700569,TRUE,United States,COMID_Analysis_00; COMID_02,James Stegen,james.stegen@pnnl.gov,WROL
C10,46.649199,-121.300698,10.58052/IEPRS00UK,stream,Clear Creek,24423347,TRUE,United States,COMID_Analysis_00; COMID_00,Allison Myers-Pigg,allison.myers-pigg@pnnl.gov,N/A
C11,46.654386,-121.319166,10.58052/IEPRS00UL,stream,Clear Creek,24423347,TRUE,United States,COMID_Analysis_00; COMID_00,Allison Myers-Pigg,allison.myers-pigg@pnnl.gov,N/A
C20,46.648074,-121.297724,10.58052/IEPRS00UM,stream,Clear Creek,24423347,TRUE,United States,COMID_Analysis_00; COMID_00,Allison Myers-Pigg,allison.myers-pigg@pnnl.gov,N/A
C21,46.6399,-121.2901,10.58052/IEPRS00TV,stream,Clear Creek,24423347,TRUE,United States,COMID_Analysis_00; COMID_00,Allison Myers-Pigg,allison.myers-pigg@pnnl.gov,SSS
CAC1,47.99,-69.72,10.58052/IEWDR01D5,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
CIC-DP,29.787553,-98.716049,10.58052/IEWDR022G,stream,Cibolo Creek,7850565,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,AV1
CIC-NP,29.810569,-98.748951,10.58052/IEWDR022H,stream,Cibolo Creek,7851005,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,AV1
"Columbia River, WA (Hydropower driven)",46.374321,-119.272549,10.58052/IEWDR028B,stream,Columbia River,24415028,TRUE,United States,COMID_Analysis_01; COMID_01,James Stegen,james.stegen@pnnl.gov,48hr
CON1,45.8594,-73.2928,10.58052/IEWDR01C8,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
CON1.5,45.8432,-73.3113,10.58052/IEWDR01C4,stream,St. Lawrence River,-9999,N/A,Canada,COMID_Analysis_00; COMID_08,James Stegen,james.stegen@pnnl.gov,STL
